GA
io.opentelemetry:opentelemetry-api-metrics
io.opentelemetry:opentelemetry-context
io.opentelemetry:opentelemetry-exporter-otlp
io.opentelemetry:opentelemetry-exporter-otlp-common
io.opentelemetry:opentelemetry-exporter-otlp-metrics
io.opentelemetry:opentelemetry-exporter-otlp-trace
io.opentelemetry:opentelemetry-proto
io.opentelemetry:opentelemetry-sdk
io.opentelemetry:opentelemetry-sdk-common
io.opentelemetry:opentelemetry-sdk-metrics
io.opentelemetry:opentelemetry-sdk-trace
io.opentelemetry:opentelemetry-semconv
io.perfmark:perfmark-api
io.projectreactor:reactor-core
io.prometheus:simpleclient
io.prometheus:simpleclient_common
io.prometheus:simpleclient_hotspot
io.prometheus:simpleclient_pushgateway
io.reactivex.rxjava2:rxjava
io.swagger:swagger-annotations
io.vertx:vertx-auth-common
io.vertx:vertx-bridge-common
io.vertx:vertx-core
io.vertx:vertx-web
io.vertx:vertx-web-common
jakarta.activation:jakarta.activation-api
jakarta.xml.bind:jakarta.xml.bind-api
javax.activation:activation
javax.persistence:javax.persistence-api
javax.servlet:javax.servlet-api
javax.xml.bind:jaxb-api
joda-time:joda-time
junit:junit
net.bytebuddy:byte-buddy
net.bytebuddy:byte-buddy-agent
net.java.dev.jna:jna
net.javacrumbs.json-unit:json-unit-core
net.minidev:accessors-smart
net.minidev:json-smart
net.sf.jopt-simple:jopt-simple
org.antlr:antlr4-runtime
org.apache.commons:commons-compress
org.apache.commons:commons-lang3
org.apache.commons:commons-math3
org.apache.commons:commons-text
org.apache.httpcomponents:httpclient
org.apache.httpcomponents:httpcore
org.apache.logging.log4j:log4j-api
org.apache.logging.log4j:log4j-core
org.apache.logging.log4j:log4j-slf4j-impl
org.apache.tuweni:bytes
org.apache.tuweni:crypto
org.apache.tuweni:tuweni-bytes
org.apache.tuweni:tuweni-concurrent
org.apache.tuweni:tuweni-concurrent-coroutines
org.apache.tuweni:tuweni-crypto
org.apache.tuweni:tuweni-io
org.apache.tuweni:tuweni-kv
org.apache.tuweni:tuweni-rlp
org.apache.tuweni:tuweni-toml
org.apache.tuweni:tuweni-units
org.apache.tuweni:units
org.assertj:assertj-core
org.awaitility:awaitility
org.bouncycastle:bcpkix-jdk15on
org.bouncycastle:bcprov-jdk15on
org.checkerframework:checker-qual
org.checkerframework:dataflow-errorprone
org.codehaus.mojo:animal-sniffer-annotations
org.codehaus.woodstox:stax2-api
org.eclipse.jetty:jetty-client
org.eclipse.jetty:jetty-http
org.eclipse.jetty:jetty-io
org.eclipse.jetty:jetty-security
org.eclipse.jetty:jetty-server
org.eclipse.jetty:jetty-servlet
org.eclipse.jetty:jetty-util
org.eclipse.jetty:jetty-util-ajax
org.eclipse.jetty:jetty-webapp
org.eclipse.jetty:jetty-xml
org.eclipse.jgit:org.eclipse.jgit
org.hamcrest:hamcrest
org.hamcrest:hamcrest-core
org.hyperledger.besu.internal:metrics-core
org.hyperledger.besu:plugin-api
org.java-websocket:Java-WebSocket
org.jetbrains.kotlin:kotlin-reflect
org.jetbrains.kotlin:kotlin-stdlib
org.jetbrains.kotlin:kotlin-stdlib-common
org.jetbrains.kotlin:kotlin-stdlib-jdk7
org.jetbrains.kotlin:kotlin-stdlib-jdk8
org.jetbrains.kotlinx:kotlinx-coroutines-core
org.jetbrains.kotlinx:kotlinx-coroutines-guava
org.jetbrains.kotlinx:kotlinx-coroutines-jdk8
org.jetbrains:annotations
org.jupnp:org.jupnp
org.jupnp:org.jupnp.support
org.mockito:mockito-core
org.objenesis:objenesis
org.openjdk.jmh:jmh-core
org.openjdk.jmh:jmh-generator-annprocess
org.ow2.asm:asm
org.ow2.asm:asm-analysis
org.ow2.asm:asm-commons
org.ow2.asm:asm-tree
org.ow2.asm:asm-util
org.pcollections:pcollections
org.reactivestreams:reactive-streams
org.rnorth.duct-tape:duct-tape
org.rocksdb:rocksdbjni
org.slf4j:slf4j-api
org.testcontainers:testcontainers
org.web3j:abi
org.web3j:core
org.web3j:crypto
org.web3j:rlp
org.web3j:tuples
org.web3j:utils
org.xerial.snappy:snappy-java
org.xmlunit:xmlunit-core
org.xmlunit:xmlunit-placeholders
org.yaml:snakeyaml
tech.pegasys.discovery:discovery
